fac1,fac2,c,dpt
http://vivo.brown.edu/individual/ahdaniel,http://vivo.brown.edu/individual/cpeberso,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/ahdaniel,http://vivo.brown.edu/individual/rterekmd,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/ahdaniel,http://vivo.brown.edu/individual/jcrisco,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/jcrisco,12,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/tl7,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/ebrainer,2,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/qchen3,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/gjaymdph,28,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/gtungmd,4,http://vivo.brown.edu/individual/org-brown-univ-dept213
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/ewalsh,4,http://vivo.brown.edu/individual/org-brown-univ-dept56
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/jmachan,4,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/lewei,6,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/bfleming,http://vivo.brown.edu/individual/rterekmd,6,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/cpeberso,http://vivo.brown.edu/individual/ahdaniel,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/ed12,http://vivo.brown.edu/individual/gjaymdph,2,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/ed12,http://vivo.brown.edu/individual/cf5,2,http://vivo.brown.edu/individual/org-brown-univ-dept75
http://vivo.brown.edu/individual/jcrisco,http://vivo.brown.edu/individual/bfleming,12,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/jcrisco,http://vivo.brown.edu/individual/sgatesy,2,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/jcrisco,http://vivo.brown.edu/individual/rterekmd,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/jcrisco,http://vivo.brown.edu/individual/ebrainer,4,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/jcrisco,http://vivo.brown.edu/individual/gjaymdph,4,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/jcrisco,http://vivo.brown.edu/individual/ahdaniel,4,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/jmachan,http://vivo.brown.edu/individual/mbelandm,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/jmachan,http://vivo.brown.edu/individual/cjohanso,1,http://vivo.brown.edu/individual/org-brown-univ-dept240
http://vivo.brown.edu/individual/jmachan,http://vivo.brown.edu/individual/jedonahu,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/jmachan,http://vivo.brown.edu/individual/bfleming,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/lewei,http://vivo.brown.edu/individual/gjaymdph,1,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/lewei,http://vivo.brown.edu/individual/wy10,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/lewei,http://vivo.brown.edu/individual/yguan,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/lewei,http://vivo.brown.edu/individual/bfleming,3,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/lewei,http://vivo.brown.edu/individual/qchen3,4,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/lewei,http://vivo.brown.edu/individual/rterekmd,8,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/qchen3,http://vivo.brown.edu/individual/bfleming,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/qchen3,http://vivo.brown.edu/individual/yguan,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/qchen3,http://vivo.brown.edu/individual/wy10,4,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/qchen3,http://vivo.brown.edu/individual/rterekmd,6,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/qchen3,http://vivo.brown.edu/individual/lewei,8,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/rterekmd,http://vivo.brown.edu/individual/lewei,16,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/rterekmd,http://vivo.brown.edu/individual/tl7,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/rterekmd,http://vivo.brown.edu/individual/ahdaniel,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/rterekmd,http://vivo.brown.edu/individual/jcrisco,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/rterekmd,http://vivo.brown.edu/individual/yguan,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/rterekmd,http://vivo.brown.edu/individual/wy10,4,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/rterekmd,http://vivo.brown.edu/individual/bfleming,6,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/rterekmd,http://vivo.brown.edu/individual/qchen3,6,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/wy10,http://vivo.brown.edu/individual/lewei,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/wy10,http://vivo.brown.edu/individual/qchen3,4,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/wy10,http://vivo.brown.edu/individual/rterekmd,4,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/yguan,http://vivo.brown.edu/individual/aayalaph,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/yguan,http://vivo.brown.edu/individual/jf32,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/yguan,http://vivo.brown.edu/individual/jreichne,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/yguan,http://vivo.brown.edu/individual/qchen3,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/yguan,http://vivo.brown.edu/individual/rterekmd,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/yguan,http://vivo.brown.edu/individual/lewei,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
